VNum           0
Polymorph      0
Race_Full      Human~
Race_Name      Hum~
MIregen        -200
END
VNum           1
Polymorph      0
Race_Full      Elf~
Race_Name      Elf~
MStr           -1
MInt           2
MWis           1
MDex           1
MCon           -2
MIpositive     -5
MInegative     5
MIregen        -200
MIdegen        10
END
VNum           2
Polymorph      0
Race_Full      Dwarf~
Race_Name      Dwa~
MStr           1
MInt           -1
MWis           -1
MDex           -1
MCon           2
MAgi           -1
MIheat         -10
MIpositive     -10
MIcold         -10
MInegative     -10
MIregen        -200
MIdegen        -5
MIpierce       -5
MIslash        -5
MIscratch      -5
MIbash         -5
MIinternal     -5
END
VNum           3
Polymorph      0
Race_Full      Quicksilver~
Race_Name      Qui~
MInt           -1
MWis           -2
MDex           -1
MAgi           3
MIheat         10
MIpositive     5
MIcold         10
MInegative     5
MIregen        -180
MIdegen        5
MIdynamic      -15
MIvoid         5
MIpierce       5
MIslash        5
MIscratch      10
MIbash         -15
MIinternal     -50
END
VNum           4
Polymorph      0
Race_Full      Ghoul~
Race_Name      Gho~
MStr           2
MInt           -2
MWis           -2
MDex           -1
MCon           2
MAgi           -1
MIheat         20
MIcold         -20
MIholy         50
MIunholy       -50
MIdegen        -200
MIdynamic      10
MIpierce       -25
MIslash        -25
MIscratch      -25
MIbash         -25
MIinternal     -100
END
VNum           5
Polymorph      0
Race_Full      Pixie~
Race_Name      Pix~
MStr           -2
MInt           2
MWis           1
MDex           2
MCon           -2
MAgi           1
MIheat         -10
MIpositive     -10
MIcold         -10
MInegative     -10
MIregen        -200
MIdegen        10
MIdynamic      -30
MIvoid         30
MIpierce       15
MIslash        15
MIscratch      15
MIbash         15
MIinternal     15
END
VNum           6
Polymorph      0
Race_Full      Felixi~
Race_Name      Fel~
MStr           1
MWis           -1
MDex           3
MAgi           1
MIheat         -5
MIpositive     -5
MIcold         5
MInegative     -5
MIregen        -200
MIdegen        -5
MIpierce       -5
MIslash        -5
MIscratch      -5
MIbash         -5
MIinternal     -5
END
VNum           7
Polymorph      0
Race_Full      Draconi~
Race_Name      Dra~
MStr           1
MInt           -1
MWis           -1
MCon           1
MAgi           1
MIheat         5
MIcold         15
MIregen        -210
MIdegen        -5
MIslash        -5
MIscratch      -5
END
VNum           8
Polymorph      0
Race_Full      Goblin~
Race_Name      Gob~
MStr           -1
MInt           -1
MWis           -1
MDex           3
MAgi           2
MIheat         5
MIpositive     5
MIcold         5
MInegative     5
MIregen        -200
MIdynamic      5
MIvoid         5
MIpierce       5
MIslash        5
MIscratch      5
MIbash         5
END
VNum           9
Polymorph      0
Race_Full      Centaur~
Race_Name      Cen~
MStr           1
MInt           1
MWis           1
MDex           1
MCon           1
MAgi           -1
MIheat         -5
MIpositive     -5
MIcold         -5
MInegative     -5
MIregen        -200
MIdegen        -10
MIpierce       -5
MIslash        -5
MIscratch      -5
MIbash         -5
MIinternal     -5
END
VNum           10
Polymorph      0
Race_Full      Kender~
Race_Name      Ken~
MStr           -2
MDex           5
MCon           -2
MAgi           3
MIheat         5
MIpositive     5
MIcold         5
MInegative     5
MIregen        -210
MIdynamic      5
MIvoid         5
MIpierce       5
MIslash        5
MIscratch      5
MIbash         5
MIinternal     5
END
VNum           11
Polymorph      0
Race_Full      Minotaur~
Race_Name      Min~
MStr           2
MInt           -1
MWis           2
MCon           2
MAgi           -2
MIheat         -10
MIpositive     -10
MIcold         -10
MInegative     -10
MIregen        -200
MIdynamic      -10
MIvoid         -10
MIpierce       -5
MIslash        -5
MIscratch      -5
MIbash         -5
MIinternal     -5
END
VNum           12
Polymorph      0
Race_Full      Drow~
Race_Name      Dro~
MInt           2
MDex           1
MCon           -1
MIheat         -10
MIpositive     -10
MIcold         -10
MIregen        -180
END
VNum           13
Polymorph      0
Race_Full      Aquinis~
Race_Name      Aqu~
MStr           -2
MInt           3
MWis           5
MDex           -1
MCon           -3
MAgi           -1
MIheat         -20
MIpositive     -20
MIcold         -20
MInegative     -20
MIregen        -200
MIdynamic      -20
MIvoid         -20
MIpierce       15
MIslash        15
MIscratch      15
MIbash         15
MIinternal     15
END
VNum           14
Polymorph      0
Race_Full      Troll~
Race_Name      Tro~
MStr           1
MInt           -1
MWis           -2
MCon           3
MIregen        -250
MIdegen        -50
MIinternal     -50
END
VNum           15
Polymorph      1
Race_Full      Aquasapien~
Race_Name      Aqs~
MStr           1
MInt           1
MWis           1
MDex           1
MCon           1
MAgi           1
MIheat         10
MIcold         -10
MInegative     10
MIregen        -200
MIpierce       -5
MIslash        -5
MIscratch      -5
MIbash         -5
END
VNum           16
Polymorph      1
Race_Full      Aviasapien~
Race_Name      Avi~
MInt           1
MWis           1
MDex           2
MAgi           2
MInegative     20
MIregen        -200
MIpierce       -5
MIslash        -5
MIscratch      -5
MIbash         -5
END
VNum           17
Polymorph      1
Race_Full      Chronosapien~
Race_Name      Chr~
MStr           -1
MInt           2
MWis           2
MDex           2
MCon           -1
MAgi           2
MIpositive     20
MIregen        -200
MIdegen        25
MIdynamic      -150
MIvoid         50
END
VNum           18
Polymorph      1
Race_Full      Red Dragon~
Race_Name      Red~
MStr           3
MInt           1
MWis           3
MDex           2
MCon           3
MAgi           1
MIheat         -100
MIregen        -200
MIdegen        -50
MIpierce       -25
MIslash        -25
MIscratch      -25
MIbash         -25
MIinternal     -50
END
VNum           19
Polymorph      1
Race_Full      Great Dragon~
Race_Name      Gre~
MStr           5
MInt           2
MWis           5
MDex           3
MCon           5
MAgi           2
MIheat         -50
MIpositive     -50
MIcold         -50
MInegative     -50
MIregen        -200
MIdegen        -50
MIpierce       -50
MIslash        -50
MIscratch      -50
MIbash         -50
MIinternal     -50
END
VNum           20
Polymorph      1
Race_Full      Demon~
Race_Name      Dem~
MStr           5
MInt           2
MWis           2
MDex           4
MCon           5
MAgi           3
MIheat         -50
MIpositive     -20
MIcold         -20
MInegative     -20
MIholy         50
MIunholy       -150
MIregen        -100
MIdegen        -200
MIpierce       -25
MIslash        -25
MIscratch      -25
MIbash         -25
MIinternal     -50
END
VNum           21
Polymorph      1
Race_Full      Siren~
Race_Name      Sir~
MInt           3
MWis           3
MDex           5
MCon           2
MAgi           5
MIheat         -10
MIpositive     -50
MIcold         -10
MInegative     -10
MIregen        -200
MIdegen        -20
MIdynamic      -20
MIinternal     -50
END
VNum           22
Polymorph      1
Race_Full      Angel~
Race_Name      Ang~
MStr           1
MInt           5
MWis           5
MDex           3
MCon           5
MAgi           3
MIheat         -10
MIpositive     -20
MIcold         -50
MInegative     -20
MIholy         -150
MIunholy       50
MIregen        -250
MIdegen        -50
MIpierce       -25
MIslash        -25
MIscratch      -25
MIbash         -25
MIinternal     -50
END
VNum           23
Polymorph      1
Race_Full      Gaiean Paladin~
Race_Name      Gai~
MStr           5
MInt           2
MWis           2
MDex           5
MCon           5
MAgi           5
MIheat         -50
MIpositive     -50
MIcold         -50
MInegative     -50
MIregen        -250
MIdegen        -100
MIpierce       -15
MIslash        -15
MIscratch      -15
MIbash         -15
MIinternal     -50
END
VNum           24
Polymorph      1
Race_Full      Beholder~
Race_Name      Beh~
MInt           10
MWis           10
MCon           5
MIheat         -50
MIpositive     -50
MIcold         -50
